"","replicate","plot","subplot","nested_subplot","nested_subplot_area_m2"
"204","B",3,"W",6,1
"205","B",3,"W",7,1
"206","B",3,"W",8,1
"207","B",3,"W",9,1
"208","B",4,"W",1,1
"209","B",4,"W",2,1
"210","B",4,"W",3,1
"211","B",4,"W",4,1
"212","B",4,"W",5,1
"213","B",4,"W",6,1
"214","B",4,"W",7,1
"215","B",4,"W",8,1
"216","B",4,"W",9,1
"217","C",1,"W",1,1
"218","C",1,"W",2,1
"219","C",1,"W",3,1
"220","C",1,"W",4,1
"221","C",1,"W",5,1
"222","C",1,"W",6,1
"223","C",1,"W",7,1
"224","C",1,"W",8,1
"225","C",1,"W",9,1
"226","C",2,"W",1,1
"227","C",2,"W",2,1
"228","C",2,"W",3,1
"229","C",2,"W",4,1
"230","C",2,"W",5,1
"231","C",2,"W",6,1
"232","C",2,"W",7,1
"233","C",2,"W",8,1
"234","C",2,"W",9,1
"235","C",3,"W",1,1
"236","C",3,"W",2,1
"237","C",3,"W",3,1
"238","C",3,"W",4,1
"239","C",3,"W",5,1
"240","C",3,"W",6,1
"241","C",3,"W",7,1
"242","C",3,"W",8,1
"243","C",3,"W",9,1
"244","C",4,"W",1,1
"245","C",4,"W",2,1
"246","C",4,"W",3,1
"247","C",4,"W",4,1
"248","C",4,"W",5,1
"249","C",4,"W",6,1
"250","C",4,"W",7,1
"251","C",4,"W",8,1
"252","C",4,"W",9,1
"253","D",1,"W",1,1
"254","D",1,"W",2,1
"255","D",1,"W",3,1
"256","D",1,"W",4,1
"257","D",1,"W",5,1
"258","D",1,"W",6,1
"259","D",1,"W",7,1
"260","D",1,"W",8,1
"261","D",1,"W",9,1
"262","D",2,"W",1,1
"263","D",2,"W",2,1
"264","D",2,"W",3,1
"265","D",2,"W",4,1
"266","D",2,"W",5,1
"267","D",2,"W",6,1
"268","D",2,"W",7,1
"269","D",2,"W",8,1
"270","D",2,"W",9,1
"271","D",3,"W",1,1
"272","D",3,"W",2,1
"273","D",3,"W",3,1
"274","D",3,"W",4,1
"275","D",3,"W",5,1
"276","D",3,"W",6,1
"277","D",3,"W",7,1
"278","D",3,"W",8,1
"279","D",3,"W",9,1
"280","D",4,"W",1,1
"281","D",4,"W",2,1
"282","D",4,"W",3,1
"283","D",4,"W",4,1
"284","D",4,"W",5,1
"285","D",4,"W",6,1
"286","D",4,"W",7,1
"287","D",4,"W",8,1
"288","D",4,"W",9,1
