subplot,tag,species,dbh_cm,dbh.class,health_s,canopy,bands_in,date,DOY,week,notes,lai_dist
A01E,2783,FAGR,16.5,13-18,L,OS,0.02,5/30/2019,150,5,,no
A01E,2783,FAGR,16.5,13-18,L,OS,0.02,6/5/2019,156,6,,yes
A01E,2783,FAGR,16.5,13-18,L,OS,0.02,6/11/2019,162,7,,
A01E,2783,FAGR,16.5,13-18,L,OS,0.02,6/18/2019,169,8,,
A01E,2783,FAGR,16.5,13-18,L,OS,0.03,6/26/2019,177,9,,
A01E,2783,FAGR,16.5,13-18,L,OS,0.04,7/3/2019,184,10,,
A01E,2783,FAGR,16.5,13-18,L,OS,0.06,7/10/2019,191,11,,
A01E,2783,FAGR,16.5,13-18,L,OS,0.08,7/17/2019,198,12,,
A01E,2783,FAGR,16.5,13-18,L,OS,0.09,7/24/2019,205,13,,
A01E,2783,FAGR,16.5,13-18,L,OS,0.1,7/31/2019,212,14,,
A01E,2783,FAGR,16.5,13-18,L,OS,0.1,8/8/2019,220,15,,
A01E,2783,FAGR,16.5,13-18,L,OS,0.1,8/14/2019,226,16,,
A01E,2783,FAGR,16.5,13-18,L,OS,0.12,11/12/2019,316,17,,
A01E,2785,POGR,36.7,33-38,L,OD,0.05,11/2/2018,306,1,,
A01E,2785,POGR,36.7,33-38,L,OD,0.04,4/10/2019,100,2,,no
A01E,2785,POGR,36.7,33-38,L,OD,0.05,5/17/2019,137,3,,no
A01E,2785,POGR,36.7,33-38,L,OD,0.05,5/24/2019,144,4,,no
A01E,2785,POGR,36.7,33-38,L,OD,0.05,5/30/2019,150,5,,no
A01E,2785,POGR,36.7,33-38,L,OD,0.05,6/5/2019,156,6,,yes
A01E,2785,POGR,36.7,33-38,L,OD,0.09,6/11/2019,162,7,,
A01E,2785,POGR,36.7,33-38,L,OD,0.1,6/18/2019,169,8,,
A01E,2785,POGR,36.7,33-38,L,OD,0.19,6/26/2019,177,9,,
A01E,2785,POGR,36.7,33-38,L,OD,0.32,7/3/2019,184,10,,
A01E,2785,POGR,36.7,33-38,L,OD,0.44,7/10/2019,191,11,,
A01E,2785,POGR,36.7,33-38,L,OD,0.58,7/17/2019,198,12,,
A01E,2785,POGR,36.7,33-38,L,OD,0.71,7/24/2019,205,13,,
A01E,2785,POGR,36.7,33-38,L,OD,0.84,7/31/2019,212,14,,
A01E,2785,POGR,36.7,33-38,L,OD,0.97,8/8/2019,220,15,,
A01E,2785,POGR,36.7,33-38,L,OD,1.04,8/14/2019,226,16,,
A01E,2785,POGR,36.7,33-38,L,OD,1.14,11/12/2019,316,17,,
A01E,2789,POGR,35.9,33-38,L,OD,0.04,11/2/2018,306,1,,
A01E,2789,POGR,35.9,33-38,L,OD,0.04,4/10/2019,100,2,,no
A01E,2789,POGR,35.9,33-38,L,OD,0.05,5/17/2019,137,3,,no
A01E,2789,POGR,35.9,33-38,L,OD,0.05,5/24/2019,144,4,,no
A01E,2789,POGR,35.9,33-38,L,OD,0.05,5/30/2019,150,5,,no
A01E,2789,POGR,35.9,33-38,L,OD,0.06,6/5/2019,156,6,,yes
A01E,2789,POGR,35.9,33-38,L,OD,0.08,6/11/2019,162,7,,
A01E,2789,POGR,35.9,33-38,L,OD,0.09,6/18/2019,169,8,,
A01E,2789,POGR,35.9,33-38,L,OD,0.16,6/26/2019,177,9,,
A01E,2789,POGR,35.9,33-38,L,OD,0.25,7/3/2019,184,10,,
A01E,2789,POGR,35.9,33-38,L,OD,0.35,7/10/2019,191,11,,
A01E,2789,POGR,35.9,33-38,L,OD,0.47,7/17/2019,198,12,,
A01E,2789,POGR,35.9,33-38,L,OD,0.6,7/24/2019,205,13,,
A01E,2789,POGR,35.9,33-38,L,OD,0.73,7/31/2019,212,14,,
A01E,2789,POGR,35.9,33-38,L,OD,0.88,8/8/2019,220,15,,
A01E,2789,POGR,35.9,33-38,L,OD,0.96,8/14/2019,226,16,,
A01E,2789,POGR,35.9,33-38,L,OD,1.15,11/12/2019,316,17,,
A01E,2791,POGR,36.4,33-38,L,OD,0.04,11/2/2018,306,1,,
A01E,2791,POGR,36.4,33-38,L,OD,0.01,4/10/2019,100,2,,no
A01E,2791,POGR,36.4,33-38,L,OD,0.01,5/17/2019,137,3,,no
A01E,2791,POGR,36.4,33-38,L,OD,0.02,5/24/2019,144,4,,no
A01E,2791,POGR,36.4,33-38,L,OD,0.03,5/30/2019,150,5,,no
A01E,2791,POGR,36.4,33-38,L,OD,0.03,6/5/2019,156,6,,yes
A01E,2791,POGR,36.4,33-38,L,OD,0.04,6/11/2019,162,7,,
A01E,2791,POGR,36.4,33-38,L,OD,0.05,6/18/2019,169,8,,
A01E,2791,POGR,36.4,33-38,L,OD,0.06,6/26/2019,177,9,,
A01E,2791,POGR,36.4,33-38,L,OD,0.07,7/3/2019,184,10,,
A01E,2791,POGR,36.4,33-38,L,OD,0.08,7/10/2019,191,11,,
A01E,2791,POGR,36.4,33-38,L,OD,0.1,7/17/2019,198,12,,
A01E,2791,POGR,36.4,33-38,L,OD,0.1,7/24/2019,205,13,,
A01E,2791,POGR,36.4,33-38,L,OD,0.11,7/31/2019,212,14,,
A01E,2791,POGR,36.4,33-38,L,OD,0.11,8/8/2019,220,15,,
A01E,2791,POGR,36.4,33-38,L,OD,0.14,8/14/2019,226,16,,
A01E,2791,POGR,36.4,33-38,L,OD,NA,11/12/2019,316,17,,
A01E,2792,POGR,32.2,28-33,L,OD,0.08,11/2/2018,306,1,,
A01E,2792,POGR,32.2,28-33,L,OD,0.04,4/10/2019,100,2,,no
A01E,2792,POGR,32.2,28-33,L,OD,0.05,5/17/2019,137,3,,no
A01E,2792,POGR,32.2,28-33,L,OD,0.05,5/24/2019,144,4,,no
A01E,2792,POGR,32.2,28-33,L,OD,0.06,5/30/2019,150,5,,no
A01E,2792,POGR,32.2,28-33,L,OD,0.06,6/5/2019,156,6,,yes
A01E,2792,POGR,32.2,28-33,L,OD,0.09,6/11/2019,162,7,,
A01E,2792,POGR,32.2,28-33,L,OD,0.1,6/18/2019,169,8,,
A01E,2792,POGR,32.2,28-33,L,OD,0.16,6/26/2019,177,9,,
A01E,2792,POGR,32.2,28-33,L,OD,0.22,7/3/2019,184,10,,
A01E,2792,POGR,32.2,28-33,L,OD,0.3,7/10/2019,191,11,,
A01E,2792,POGR,32.2,28-33,L,OD,0.38,7/17/2019,198,12,,
A01E,2792,POGR,32.2,28-33,L,OD,0.46,7/24/2019,205,13,,
A01E,2792,POGR,32.2,28-33,L,OD,0.55,7/31/2019,212,14,,
A01E,2792,POGR,32.2,28-33,L,OD,0.64,8/8/2019,220,15,,
A01E,2792,POGR,32.2,28-33,L,OD,0.7,8/14/2019,226,16,,
A01E,2792,POGR,32.2,28-33,L,OD,0.85,11/12/2019,316,17,,
A01E,2795,ACSA,24.5,23-28,L,OS,0.06,11/2/2018,306,1,,
A01E,2795,ACSA,24.5,23-28,L,OS,0.05,4/10/2019,100,2,,no
A01E,2795,ACSA,24.5,23-28,L,OS,0.06,5/17/2019,137,3,,no
A01E,2795,ACSA,24.5,23-28,L,OS,0.06,5/24/2019,144,4,,no
A01E,2795,ACSA,24.5,23-28,L,OS,0.07,5/30/2019,150,5,,no
A01E,2795,ACSA,24.5,23-28,L,OS,0.07,6/5/2019,156,6,,yes
A01E,2795,ACSA,24.5,23-28,L,OS,0.1,6/11/2019,162,7,,
A01E,2795,ACSA,24.5,23-28,L,OS,0.11,6/18/2019,169,8,,
A01E,2795,ACSA,24.5,23-28,L,OS,0.16,6/26/2019,177,9,,
A01E,2795,ACSA,24.5,23-28,L,OS,0.2,7/3/2019,184,10,,
A01E,2795,ACSA,24.5,23-28,L,OS,0.23,7/10/2019,191,11,,
A01E,2795,ACSA,24.5,23-28,L,OS,0.27,7/17/2019,198,12,,
A01E,2795,ACSA,24.5,23-28,L,OS,0.31,7/24/2019,205,13,,
A01E,2795,ACSA,24.5,23-28,L,OS,0.35,7/31/2019,212,14,,
A01E,2795,ACSA,24.5,23-28,L,OS,0.44,8/8/2019,220,15,,
A01E,2795,ACSA,24.5,23-28,L,OS,0.5,8/14/2019,226,16,,
A01E,2795,ACSA,24.5,23-28,L,OS,0.78,11/12/2019,316,17,,
A01E,2798,POGR,39.5,38-43,L,OD,0.01,5/30/2019,150,5,new band,no
A01E,2798,POGR,39.5,38-43,L,OD,0.05,6/5/2019,156,6,,yes
A01E,2798,POGR,39.5,38-43,L,OD,0.11,6/11/2019,162,7,,
A01E,2798,POGR,39.5,38-43,L,OD,0.15,6/18/2019,169,8,,
A01E,2798,POGR,39.5,38-43,L,OD,0.23,6/26/2019,177,9,,
A01E,2798,POGR,39.5,38-43,L,OD,0.28,7/3/2019,184,10,,
A01E,2798,POGR,39.5,38-43,L,OD,0.34,7/10/2019,191,11,,
A01E,2798,POGR,39.5,38-43,L,OD,0.39,7/17/2019,198,12,,
A01E,2798,POGR,39.5,38-43,L,OD,0.43,7/24/2019,205,13,,
A01E,2798,POGR,39.5,38-43,L,OD,0.48,7/31/2019,212,14,,
A01E,2798,POGR,39.5,38-43,L,OD,0.51,8/8/2019,220,15,,
A01E,2798,POGR,39.5,38-43,L,OD,0.52,8/14/2019,226,16,,
A01E,2798,POGR,39.5,38-43,L,OD,0.37,11/12/2019,316,17,,
A01E,2803,FAGR,15.5,13-18,L,OS,0.06,11/2/2018,306,1,,
A01E,2803,FAGR,15.5,13-18,L,OS,0.05,4/10/2019,100,2,,no
A01E,2803,FAGR,15.5,13-18,L,OS,0.05,5/17/2019,137,3,,no
A01E,2803,FAGR,15.5,13-18,L,OS,0.05,5/24/2019,144,4,,no
A01E,2803,FAGR,15.5,13-18,L,OS,0.05,5/30/2019,150,5,,no
A01E,2803,FAGR,15.5,13-18,L,OS,0.05,6/5/2019,156,6,,yes
A01E,2803,FAGR,15.5,13-18,L,OS,0.05,6/11/2019,162,7,,
A01E,2803,FAGR,15.5,13-18,L,OS,0.05,6/18/2019,169,8,,
A01E,2803,FAGR,15.5,13-18,L,OS,0.09,6/26/2019,177,9,,
A01E,2803,FAGR,15.5,13-18,L,OS,0.12,7/3/2019,184,10,,
A01E,2803,FAGR,15.5,13-18,L,OS,0.16,7/10/2019,191,11,,
A01E,2803,FAGR,15.5,13-18,L,OS,0.19,7/17/2019,198,12,,
A01E,2803,FAGR,15.5,13-18,L,OS,0.21,7/24/2019,205,13,,
A01E,2803,FAGR,15.5,13-18,L,OS,0.24,7/31/2019,212,14,,
A01E,2803,FAGR,15.5,13-18,L,OS,0.27,8/8/2019,220,15,,
A01E,2803,FAGR,15.5,13-18,L,OS,0.28,8/14/2019,226,16,,
A01E,2803,FAGR,15.5,13-18,L,OS,0.28,11/12/2019,316,17,,
A01E,2812,POGR,36.5,33-38,L,OD,0.05,11/2/2018,306,1,,
A01E,2812,POGR,36.5,33-38,L,OD,0.03,4/10/2019,100,2,,no
A01E,2812,POGR,36.5,33-38,L,OD,0.02,5/17/2019,137,3,,no
A01E,2812,POGR,36.5,33-38,L,OD,0.03,5/24/2019,144,4,,no
A01E,2812,POGR,36.5,33-38,L,OD,0.04,5/30/2019,150,5,,no
A01E,2812,POGR,36.5,33-38,L,OD,0.04,6/5/2019,156,6,,yes
A01E,2812,POGR,36.5,33-38,L,OD,0.06,6/11/2019,162,7,,
A01E,2812,POGR,36.5,33-38,L,OD,0.06,6/18/2019,169,8,,
A01E,2812,POGR,36.5,33-38,L,OD,0.09,6/26/2019,177,9,,
A01E,2812,POGR,36.5,33-38,L,OD,0.11,7/3/2019,184,10,,
A01E,2812,POGR,36.5,33-38,L,OD,0.15,7/10/2019,191,11,,
A01E,2812,POGR,36.5,33-38,L,OD,0.19,7/17/2019,198,12,,
A01E,2812,POGR,36.5,33-38,L,OD,0.2,7/24/2019,205,13,,
A01E,2812,POGR,36.5,33-38,L,OD,0.21,7/31/2019,212,14,,
A01E,2812,POGR,36.5,33-38,L,OD,0.22,8/8/2019,220,15,,
A01E,2812,POGR,36.5,33-38,L,OD,0.22,8/14/2019,226,16,,
A01E,2812,POGR,36.5,33-38,L,OD,0.13,11/12/2019,316,17,,
A01E,2813,ACSA,8.4,8-13,L,UN,0,11/2/2018,306,1,,
A01E,2813,ACSA,8.4,8-13,L,UN,0.01,4/10/2019,100,2,,no
A01E,2813,ACSA,8.4,8-13,L,UN,0.01,5/17/2019,137,3,,no
A01E,2813,ACSA,8.4,8-13,L,UN,0.01,5/24/2019,144,4,,no
A01E,2813,ACSA,8.4,8-13,L,UN,0.01,5/30/2019,150,5,,no
A01E,2813,ACSA,8.4,8-13,L,UN,0.01,6/5/2019,156,6,,yes
A01E,2813,ACSA,8.4,8-13,L,UN,0.01,6/11/2019,162,7,,
A01E,2813,ACSA,8.4,8-13,L,UN,0.01,6/18/2019,169,8,,
A01E,2813,ACSA,8.4,8-13,L,UN,0.03,6/26/2019,177,9,,
A01E,2813,ACSA,8.4,8-13,L,UN,0.05,7/3/2019,184,10,,
A01E,2813,ACSA,8.4,8-13,L,UN,0.08,7/10/2019,191,11,,
A01E,2813,ACSA,8.4,8-13,L,UN,0.11,7/17/2019,198,12,,
A01E,2813,ACSA,8.4,8-13,L,UN,0.13,7/24/2019,205,13,,
A01E,2813,ACSA,8.4,8-13,L,UN,0.15,7/31/2019,212,14,,
A01E,2813,ACSA,8.4,8-13,L,UN,0.16,8/8/2019,220,15,,
A01E,2813,ACSA,8.4,8-13,L,UN,0.16,8/14/2019,226,16,,
A01E,2813,ACSA,8.4,8-13,L,UN,0.21,11/12/2019,316,17,,
A01E,2816,ACRU,32.7,28-33,L,OD,0.07,11/2/2018,306,1,,
A01E,2816,ACRU,32.7,28-33,L,OD,0.05,4/10/2019,100,2,,no
A01E,2816,ACRU,32.7,28-33,L,OD,0.05,5/17/2019,137,3,,no
A01E,2816,ACRU,32.7,28-33,L,OD,0.06,5/24/2019,144,4,,no
A01E,2816,ACRU,32.7,28-33,L,OD,0.06,5/30/2019,150,5,,no
A01E,2816,ACRU,32.7,28-33,L,OD,0.06,6/5/2019,156,6,,yes
A01E,2816,ACRU,32.7,28-33,L,OD,0.07,6/11/2019,162,7,,
A01E,2816,ACRU,32.7,28-33,L,OD,0.07,6/18/2019,169,8,,
A01E,2816,ACRU,32.7,28-33,L,OD,0.09,6/26/2019,177,9,,
A01E,2816,ACRU,32.7,28-33,L,OD,0.11,7/3/2019,184,10,,
A01E,2816,ACRU,32.7,28-33,L,OD,0.11,7/10/2019,191,11,,
A01E,2816,ACRU,32.7,28-33,L,OD,0.14,7/17/2019,198,12,,
A01E,2816,ACRU,32.7,28-33,L,OD,0.16,7/24/2019,205,13,,
A01E,2816,ACRU,32.7,28-33,L,OD,0.18,7/31/2019,212,14,,
A01E,2816,ACRU,32.7,28-33,L,OD,0.19,8/8/2019,220,15,,
A01E,2816,ACRU,32.7,28-33,L,OD,0.19,8/14/2019,226,16,,
A01E,2816,ACRU,32.7,28-33,L,OD,0.21,11/12/2019,316,17,,
A01E,2817,POGR,43.8,,L,OD,0,5/30/2019,150,5,new band,no
A01E,2817,POGR,43.8,,L,OD,0.01,6/5/2019,156,6,,yes
A01E,2817,POGR,43.8,,L,OD,0.05,6/11/2019,162,7,,
A01E,2817,POGR,43.8,,L,OD,0.08,6/18/2019,169,8,,
A01E,2817,POGR,43.8,,L,OD,0.12,6/26/2019,177,9,,
A01E,2817,POGR,43.8,,L,OD,0.14,7/3/2019,184,10,,
A01E,2817,POGR,43.8,,L,OD,0.15,7/10/2019,191,11,,
A01E,2817,POGR,43.8,,L,OD,0.16,7/17/2019,198,12,,
A01E,2817,POGR,43.8,,L,OD,0.17,7/24/2019,205,13,,
A01E,2817,POGR,43.8,,L,OD,0.17,7/31/2019,212,14,,
A01E,2817,POGR,43.8,,L,OD,0.17,8/8/2019,220,15,,
A01E,2817,POGR,43.8,,L,OD,0.17,8/14/2019,226,16,,
A01E,2817,POGR,43.8,,L,OD,NA,11/12/2019,316,17,,
A01E,2821,FAGR,10.9,8-13,L,UN,0.01,11/2/2018,306,1,,
A01E,2821,FAGR,10.9,8-13,L,UN,0.01,4/10/2019,100,2,,no
A01E,2821,FAGR,10.9,8-13,L,UN,0.01,5/17/2019,137,3,,no
A01E,2821,FAGR,10.9,8-13,L,UN,0.01,5/24/2019,144,4,,no
A01E,2821,FAGR,10.9,8-13,L,UN,0.01,5/30/2019,150,5,,no
A01E,2821,FAGR,10.9,8-13,L,UN,0.01,6/5/2019,156,6,,yes
A01E,2821,FAGR,10.9,8-13,L,UN,0.02,6/11/2019,162,7,,
A01E,2821,FAGR,10.9,8-13,L,UN,0.02,6/18/2019,169,8,,
A01E,2821,FAGR,10.9,8-13,L,UN,0.04,6/26/2019,177,9,,
A01E,2821,FAGR,10.9,8-13,L,UN,0.07,7/3/2019,184,10,,
A01E,2821,FAGR,10.9,8-13,L,UN,0.1,7/10/2019,191,11,,
A01E,2821,FAGR,10.9,8-13,L,UN,0.13,7/17/2019,198,12,,
A01E,2821,FAGR,10.9,8-13,L,UN,0.15,7/24/2019,205,13,swollen w/ beech bark,
A01E,2821,FAGR,10.9,8-13,L,UN,0.16,7/31/2019,212,14,,
A01E,2821,FAGR,10.9,8-13,L,UN,0.18,8/8/2019,220,15,,
A01E,2821,FAGR,10.9,8-13,L,UN,0.18,8/14/2019,226,16,,
A01E,2821,FAGR,10.9,8-13,L,UN,0.19,11/12/2019,316,17,,
A01E,2826,POGR,29.1,28-33,L,OD,0.08,11/2/2018,306,1,,
A01E,2826,POGR,29.1,28-33,L,OD,0.08,4/10/2019,100,2,,no
A01E,2826,POGR,29.1,28-33,L,OD,0.08,5/17/2019,137,3,,no
A01E,2826,POGR,29.1,28-33,L,OD,0.09,5/24/2019,144,4,,no
A01E,2826,POGR,29.1,28-33,L,OD,0.09,5/30/2019,150,5,,no
A01E,2826,POGR,29.1,28-33,L,OD,0.09,6/5/2019,156,6,,yes
A01E,2826,POGR,29.1,28-33,L,OD,0.1,6/11/2019,162,7,,
A01E,2826,POGR,29.1,28-33,L,OD,0.1,6/18/2019,169,8,,
A01E,2826,POGR,29.1,28-33,L,OD,0.11,6/26/2019,177,9,,
A01E,2826,POGR,29.1,28-33,L,OD,0.11,7/3/2019,184,10,,
A01E,2826,POGR,29.1,28-33,L,OD,0.13,7/10/2019,191,11,,
A01E,2826,POGR,29.1,28-33,L,OD,0.14,7/17/2019,198,12,,
A01E,2826,POGR,29.1,28-33,L,OD,0.15,7/24/2019,205,13,,
A01E,2826,POGR,29.1,28-33,L,OD,0.15,7/31/2019,212,14,,
A01E,2826,POGR,29.1,28-33,L,OD,0.15,8/8/2019,220,15,,
A01E,2826,POGR,29.1,28-33,L,OD,0.15,8/14/2019,226,16,,
A01E,2826,POGR,29.1,28-33,L,OD,NA,11/12/2019,316,17,,
A01E,2833,FAGR,19.1,18-23,L,OS,0.03,11/2/2018,306,1,,
A01E,2833,FAGR,19.1,18-23,L,OS,0.02,4/10/2019,100,2,,no
A01E,2833,FAGR,19.1,18-23,L,OS,0.03,5/17/2019,137,3,,no
A01E,2833,FAGR,19.1,18-23,L,OS,0.03,5/24/2019,144,4,,no
A01E,2833,FAGR,19.1,18-23,L,OS,0.03,5/30/2019,150,5,,no
A01E,2833,FAGR,19.1,18-23,L,OS,0.03,6/5/2019,156,6,,yes
A01E,2833,FAGR,19.1,18-23,L,OS,0.04,6/11/2019,162,7,,
A01E,2833,FAGR,19.1,18-23,L,OS,0.04,6/18/2019,169,8,,
A01E,2833,FAGR,19.1,18-23,L,OS,0.08,6/26/2019,177,9,,
A01E,2833,FAGR,19.1,18-23,L,OS,0.12,7/3/2019,184,10,,
A01E,2833,FAGR,19.1,18-23,L,OS,0.16,7/10/2019,191,11,,
A01E,2833,FAGR,19.1,18-23,L,OS,0.2,7/17/2019,198,12,,
A01E,2833,FAGR,19.1,18-23,L,OS,0.23,7/24/2019,205,13,,
A01E,2833,FAGR,19.1,18-23,L,OS,0.26,7/31/2019,212,14,,
A01E,2833,FAGR,19.1,18-23,L,OS,0.29,8/8/2019,220,15,,
A01E,2833,FAGR,19.1,18-23,L,OS,0.29,8/14/2019,226,16,,
A01E,2833,FAGR,19.1,18-23,L,OS,0.33,11/12/2019,316,17,,
A01E,2834,FAGR,10.2,8-13,L,UN,0,11/2/2018,306,1,,
A01E,2834,FAGR,10.2,8-13,L,UN,0.01,4/10/2019,100,2,,no
A01E,2834,FAGR,10.2,8-13,L,UN,0,5/17/2019,137,3,,no
A01E,2834,FAGR,10.2,8-13,L,UN,0.01,5/24/2019,144,4,,no
A01E,2834,FAGR,10.2,8-13,L,UN,0.01,5/30/2019,150,5,,no
A01E,2834,FAGR,10.2,8-13,L,UN,0.01,6/5/2019,156,6,,yes
A01E,2834,FAGR,10.2,8-13,L,UN,0.01,6/11/2019,162,7,Bad angle; hard to read,
A01E,2834,FAGR,10.2,8-13,L,UN,0.01,6/18/2019,169,8,Bad angle; hard to read,
A01E,2834,FAGR,10.2,8-13,L,UN,0.01,6/26/2019,177,9,,
A01E,2834,FAGR,10.2,8-13,L,UN,0.01,7/3/2019,184,10,,
A01E,2834,FAGR,10.2,8-13,L,UN,0.01,7/10/2019,191,11,,
A01E,2834,FAGR,10.2,8-13,L,UN,0.01,7/17/2019,198,12,,
A01E,2834,FAGR,10.2,8-13,L,UN,0.01,7/24/2019,205,13,dead,
A01E,2834,FAGR,10.2,8-13,L,UN,0.01,7/31/2019,212,14,,
A01E,2834,FAGR,10.2,8-13,L,UN,0.01,8/8/2019,220,15,,
A01E,2834,FAGR,10.2,8-13,L,UN,0.01,8/14/2019,226,16,,
A01E,2834,FAGR,10.2,8-13,L,UN,0.01,11/12/2019,316,17,,
A01E,2842,ACSA,14,13-18,L,OS,0.04,11/2/2018,306,1,,
A01E,2842,ACSA,14,13-18,L,OS,0.03,4/10/2019,100,2,,no
A01E,2842,ACSA,14,13-18,L,OS,0.03,5/17/2019,137,3,,no
A01E,2842,ACSA,14,13-18,L,OS,0.04,5/24/2019,144,4,,no
A01E,2842,ACSA,14,13-18,L,OS,0.04,5/30/2019,150,5,,no
A01E,2842,ACSA,14,13-18,L,OS,0.04,6/5/2019,156,6,,yes
A01E,2842,ACSA,14,13-18,L,OS,0.04,6/11/2019,162,7,,
A01E,2842,ACSA,14,13-18,L,OS,0.05,6/18/2019,169,8,,
A01E,2842,ACSA,14,13-18,L,OS,0.07,6/26/2019,177,9,,
A01E,2842,ACSA,14,13-18,L,OS,0.11,7/3/2019,184,10,,
A01E,2842,ACSA,14,13-18,L,OS,0.13,7/10/2019,191,11,,
A01E,2842,ACSA,14,13-18,L,OS,0.15,7/17/2019,198,12,,
A01E,2842,ACSA,14,13-18,L,OS,0.16,7/24/2019,205,13,,
A01E,2842,ACSA,14,13-18,L,OS,0.18,7/31/2019,212,14,,
A01E,2842,ACSA,14,13-18,L,OS,0.19,8/8/2019,220,15,,
A01E,2842,ACSA,14,13-18,L,OS,0.2,8/14/2019,226,16,,
A01E,2842,ACSA,14,13-18,L,OS,0.23,11/12/2019,316,17,,
A01E,2844,ACSA,11.9,8-13,L,OS,0.01,11/2/2018,306,1,,
A01E,2844,ACSA,11.9,8-13,L,OS,0.01,4/10/2019,100,2,,no
A01E,2844,ACSA,11.9,8-13,L,OS,0.01,5/17/2019,137,3,,no
A01E,2844,ACSA,11.9,8-13,L,OS,0.02,5/24/2019,144,4,,no
A01E,2844,ACSA,11.9,8-13,L,OS,0.03,5/30/2019,150,5,,no
A01E,2844,ACSA,11.9,8-13,L,OS,0.03,6/5/2019,156,6,,yes
A01E,2844,ACSA,11.9,8-13,L,OS,0.06,6/11/2019,162,7,,
A01E,2844,ACSA,11.9,8-13,L,OS,0.08,6/18/2019,169,8,,
A01E,2844,ACSA,11.9,8-13,L,OS,0.14,6/26/2019,177,9,,
